news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,".@MichaelJMorell: We're in a cold war again, without a doubt. When you look at the Russian invasion of Georgia, Ukraine, intervention in Syria, the meddling in our election, the attack just last week by Russian mercenaries on U.S. Troops in Syria, we're in a cold war again. https://t.co/WE4TKPWGm4",2018-03-02 13:29:14,-0.8686,0.039,0.759,0.202,@CBSNews
,"The #MeToo movement has been center stage at Hollywood award shows this season. Ahead on @CBSThisMorning, @nytimes reporter @jodikantor discusses what we can expect from Sunday’s Academy Awards and how harassment claims against pre-show host Ryan Seacrest just might play a role: https://t.co/SsKYVRtX1i",2018-03-02 13:28:02,0.6597,0.177,0.754,0.069,@CBSNews
,"Noriella Santos, a well-educated young woman from New York, apparently had everything going for her. But her life changed when she was charged with the 2nd-degree murder of a man she had dated. @JimAxelrod met with Santos for her only TV interview on @48Hours: https://t.co/GX1rYk8Wrj",2018-03-02 13:21:22,-0.7579,0.0,0.863,0.137,@CBSNews
,"Russian President Putin announced a new generation of nuclear weapons in a saber-rattling speech, but Western analysts doubt there is anything revolutionary in Russia's arsenal: https://t.co/kLQNVc2kSb https://t.co/Zht8RALg5s",2018-03-02 13:20:01,-0.6369,0.0,0.816,0.184,@CBSNews
,"As the assault on Eastern Ghouta continues, the Syrian army, backed by Russian airstrikes aimed at rebel forces, says the Syrian government is attacking Damascus with rockets. Some students are brave enough to attend classes as the war rages around them. @sethdoane reports: https://t.co/5Iv64WDifR",2018-03-02 13:17:03,-0.8979,0.079,0.65,0.271,@CBSNews
,"“I think [Vladimir Putin] was talking to his own people because he has an election coming up, and he wants to look tough,” @MichaelJMorell says. “He was also talking to us.” https://t.co/4J5jtw2PGD",2018-03-02 13:15:28,0.0,0.0,1.0,0.0,@CBSNews
,"ISIS followers in the Middle East are possibly plotting a chemical attack on the U.S. A new report, based on intercepted conversations, shows the desire by ISIS to use chlorine or other weapons of mass destruction on U.S. soil. @MichaelJMorell joins @CBSThisMorning to discuss: https://t.co/7AJBBTjXgL",2018-03-02 13:11:11,-0.7906,0.053,0.759,0.189,@CBSNews
,President Trump may be backing off a pledge to tighten gun safety laws: https://t.co/eEdzgPX3C5 https://t.co/EsJ5tdN9Qe,2018-03-02 13:09:03,0.128,0.225,0.636,0.139,@CBSNews
,Powerful storms are bashing millions of people along the East and West Coast on Friday morning: https://t.co/6gffHhHLNd https://t.co/WwoZssl9bA,2018-03-02 13:06:18,0.4215,0.141,0.859,0.0,@CBSNews
,The first male victim has come forward to accuse Larry Nassar of sexual abuse. Jacob Moore alleges the disgraced doctor abused him during treatment sessions for a shoulder injury in 2016: https://t.co/ql1uVppnlb https://t.co/nDpJXOEVoW,2018-03-02 13:00:02,-0.9451,0.0,0.602,0.398,@CBSNews
,"?? Billy Graham's funeral service will take place this morning in Charlotte, North Carolina.
?? Equifax says hackers stole data from an additional 2.4 million Americans during last year's intrusion.
?? Uber is launching a new service to help people get to the doctor. https://t.co/L7WMtYc5Pd",2018-03-02 12:50:32,0.0516,0.057,0.89,0.053,@CBSNews
,"A new report pinpoints dangerous conditions that have apparently led to many deaths in facilities known as ""surgery centers"" across the United States. It found more than 260 patients have died after surgery center procedures since 2013. @tonydokoupil reports: https://t.co/v17Q1qZsJ0",2018-03-02 12:42:31,-0.5994,0.062,0.791,0.147,@CBSNews
,"President Trump responds after Alec Baldwin says impersonating the president is ""agony"" https://t.co/RP2Q83Ak9Z https://t.co/0wKm864C3w",2018-03-02 12:40:01,0.0,0.0,1.0,0.0,@CBSNews
,"Producers say the Academy Awards will acknowledge the #TimesUp movement against sexual harassment. Kelly Ripa addressed allegations of sexual misconduct against Ryan Seacrest. Seacrest, who denies the accusations, will be on the red carpet for E! News: https://t.co/Giug0iU5Ap https://t.co/5oq9F79XE7",2018-03-02 12:37:22,-0.7088,0.064,0.746,0.19,@CBSNews
,"Hollywood stars are responding to sexual misconduct allegations against Ryan Seacrest. Ahead on @CBSThisMorning, how TV colleagues are backing the red carpet host ahead of Sunday’s Oscars: https://t.co/synM4N2bsc",2018-03-02 12:25:01,0.0258,0.039,0.961,0.0,@CBSNews
,The first male victim has come forward to accuse Larry Nassar of sexual abuse. Jacob Moore alleges the disgraced doctor abused him during treatment sessions for a shoulder injury in 2016. Moore has filed a lawsuit against Nassar. @AnnaWerner reports: https://t.co/xkdJ8AZgaj,2018-03-02 12:23:35,-0.9524,0.0,0.626,0.374,@CBSNews
,Germany says President Trump and German leader Angela Merkel spoke by phone about Russia’s claim to have a new generation of nuclear weapons. Vladimir Putin announced the new weapons in a saber-rattling speech on Thursday. @elizapalmer reports: https://t.co/00krxgDfK5 https://t.co/xpOwl9yFcn,2018-03-02 12:22:18,-0.7003,0.0,0.858,0.142,@CBSNews
,"A large explosion in the eastern part of Afghanistan's capital city of Kabul  kills at least one person, a young girl, and wounds 15: https://t.co/bv9EPNz7Ra https://t.co/UmDQPlOA10",2018-03-02 12:20:01,-0.5423,0.0,0.868,0.132,@CBSNews
,"President Trump tweeted Friday morning that ""trade wars are good and easy to win."" Trump said when other countries ""get cute, don't trade anymore, we win big."" CBS News business analyst @jillonmoney joins @CBSThisMorning to discuss: https://t.co/zs4LDeBkUE",2018-03-02 12:18:39,0.8402,0.261,0.664,0.075,@CBSNews
,The NRA suggested overnight that Pres. Trump may be walking back his comments about stricter gun laws that left Republicans reeling on Thursday. Many were also stunned by the president's surprise announcement on steel &amp; aluminum tariffs. @MajorCBS reports https://t.co/ygn3gFnPgN https://t.co/H6fX4Hz7LC,2018-03-02 12:16:03,-0.1779,0.048,0.866,0.087,@CBSNews
,"Up to 30,000 people in Southern California were ordered to leave their homes ahead of a Pacific storm: https://t.co/WXjMp1j2KU https://t.co/bF6s3xUwef",2018-03-02 12:14:12,-0.0516,0.0,0.938,0.062,@CBSNews
,Meteorologist @DanielleWBZ4 is watching the storm develop: https://t.co/6gffHhHLNd https://t.co/fK9ZrdMzqR,2018-03-02 12:11:57,0.0,0.0,1.0,0.0,@CBSNews
,"Over 1,600 flights have already been canceled and 208 others delayed across the country on Friday as the storm barrels toward the East Coast. @krisvancleave is at Boston’s Logan International Airport: https://t.co/6gffHhHLNd https://t.co/1Wze5EEZMC",2018-03-02 12:09:58,-0.2263,0.0,0.944,0.056,@CBSNews
,"Two dangerous winter storms are threatening millions of Americans on both sides of the country. The National Weather Service calls it a ""life and death"" situation for people along the shore. @DeMarcoReports has more: https://t.co/6gffHhHLNd https://t.co/CO8ocDgoLL",2018-03-02 12:05:28,-0.886,0.0,0.755,0.245,@CBSNews
,"A major Nor'easter is starting to slam the East Coast with heavy rain, some heavy snow, strong winds and the prospect of severe coastal flooding: https://t.co/0euPiHrhJg https://t.co/L8MwFPlBwk",2018-03-02 12:00:02,0.0772,0.168,0.673,0.159,@CBSNews
,Ahead on @CBSThisMorning at 7: Two @NFL players are moonlighting on Capitol Hill. See how they're huddling with politicians in an act of bipartisanship in our #AMorePerfectUnion series. https://t.co/aeWTKVjtb3,2018-03-02 11:50:01,0.0,0.0,1.0,0.0,@CBSNews
,"The #MeToo movement has redefined the red carpet during this year's awards season after months of sexual misconduct allegations in Hollywood. @CBSNews contributor and New York Times reporter @JodiKantor joins @CBSThisMorning.

7-9 a.m. https://t.co/iu3rJX70tM",2018-03-02 11:43:02,0.4588,0.083,0.917,0.0,@CBSNews
,EPA Administrator Scott Pruitt says he prizes transparency when it comes to agency oversight -- even though it took months of public pressure for his office to make his daily calendars public:  https://t.co/wE04AVA3QN https://t.co/3skA12nqLd,2018-03-02 11:40:01,0.2023,0.081,0.86,0.059,@CBSNews
,"THIS MORNING: 
?@DeMarcoReports with the latest on  Nor'easter flooding
?@MichaelJMorell discusses ISIS threat
?@JimAxelrod talks about upcoming @48hours episode 
?@jodikantor on the Oscars and #MeToo
? 7AM ET",2018-03-02 11:33:03,-0.5267,0.0,0.884,0.116,@CBSNews
,".@CBSThisMorning is tracking the big storm causing flooding concerns and flight cancellations in the Northeast.

Latest coverage beginning at 7 a.m. https://t.co/ANQMbGo39w",2018-03-02 11:27:03,0.0,0.0,1.0,0.0,@CBSNews
,Israeli police question Prime Minister Netanyahu and his wife as part of a probe into a corruption case involving the country's telecom giant: https://t.co/DtlyZDxAad https://t.co/7fGN2kT7DS,2018-03-02 11:20:01,0.0,0.0,1.0,0.0,@CBSNews
,Guns and mental illness: How do you judge who shouldn't get weapons? https://t.co/u7wi0aUfRO https://t.co/T4xkujjMdi,2018-03-02 11:03:07,-0.0757,0.141,0.702,0.158,@CBSNews
,White House responds to report of preparations to oust H.R. McMaster https://t.co/XATozqwcwo https://t.co/Embcm6y8wk,2018-03-02 10:48:05,0.0,0.0,1.0,0.0,@CBSNews
,Why Barbra Streisand's cloned dogs aren't identical to the original https://t.co/EcHvVWC7Oh https://t.co/1yfat0td0p,2018-03-02 10:33:07,0.3182,0.173,0.827,0.0,@CBSNews
,Jennifer Lawrence not sure if she will talk to Ryan Seacrest on Oscars red carpet https://t.co/JS3D75U5qG https://t.co/scAbfhRRhR,2018-03-02 10:18:07,-0.2411,0.0,0.891,0.109,@CBSNews
,Last male northern white rhino's health deteriorating in Kenya https://t.co/MLnfrQbF8S https://t.co/4EFCP2zjow,2018-03-02 10:03:09,0.0,0.0,1.0,0.0,@CBSNews
,"Uber ride home after hours of drinking cost N.J. man $1,600 https://t.co/jGPYRDtcdg https://t.co/Kqk3l85Rna",2018-03-02 09:48:04,0.0,0.0,1.0,0.0,@CBSNews
,Baby chimp bonds with pilot on rescue flight https://t.co/YVx4f4sda7 https://t.co/3VQyb8O6eS,2018-03-02 09:33:07,0.5106,0.268,0.732,0.0,@CBSNews
,"Man sentenced to 12 years in prison for stomping on, throwing puppy https://t.co/LmIrcHi5hS https://t.co/VAddSZZFlE",2018-03-02 09:18:10,-0.5267,0.0,0.732,0.268,@CBSNews
,Gun stocks rally as major retailers restrict sales https://t.co/ivkKaN1EVX https://t.co/iXew87Py6p,2018-03-02 09:03:05,-0.6124,0.0,0.615,0.385,@CBSNews
,TerriLynn St. John case: Grim end to search for mom who vanished from driveway https://t.co/i7UQRCInpE https://t.co/jP3IzoB3GA,2018-03-02 08:48:05,-0.5719,0.0,0.802,0.198,@CBSNews
,Disneyland workers struggle with low wages and homelessness https://t.co/xOokqp99dS https://t.co/1uVFrIIG69,2018-03-02 08:33:09,-0.5267,0.0,0.645,0.355,@CBSNews
,Texas Wesleyan baseball coach fired after rejecting Colorado prospect over politics https://t.co/uXSZVj5WTZ https://t.co/l0JJT5pktO,2018-03-02 08:18:08,-0.6597,0.117,0.532,0.351,@CBSNews
,Woman accused of poisoning look-alike with cheesecake https://t.co/rybbwFysha https://t.co/SAnoFog9i4,2018-03-02 08:03:04,-0.7184,0.0,0.538,0.462,@CBSNews
,"Did Melania Trump really qualify for her ""Einstein visa""? https://t.co/SwVJpgR8Jn https://t.co/Tqr3MTekeA",2018-03-02 07:48:05,0.0,0.0,1.0,0.0,@CBSNews
,Advanced GOES satellites launched to improve weather forecasting https://t.co/77pjBjFIOa https://t.co/i1jp2bTIOR,2018-03-02 07:33:07,0.6597,0.478,0.522,0.0,@CBSNews
,California county orders evacuations ahead of possible mudslides https://t.co/O4XSzfhhRn https://t.co/BGSh2CIFvD,2018-03-02 07:18:10,0.0,0.0,1.0,0.0,@CBSNews
,U.S. ambassador to Mexico resigning https://t.co/yqOWGOFgGs https://t.co/obgCCmwB31,2018-03-02 07:03:09,-0.2263,0.0,0.759,0.241,@CBSNews
,Woman accused of poisoning look-alike with cheesecake https://t.co/Jw99wXW7f3 https://t.co/gLr95WMnlS,2018-03-02 06:48:05,-0.7184,0.0,0.538,0.462,@CBSNews
,Mother testifies in horrific case of nanny accused of killing 2 children https://t.co/ChkZYqrLzs https://t.co/brolgqyrTE,2018-03-02 06:33:06,-0.9001,0.0,0.476,0.524,@CBSNews
,Female teacher accused of sexual relationship with 14-year-old boy https://t.co/DKcdPTrno0 https://t.co/jZo9vW1GD7,2018-03-02 06:18:09,-0.296,0.0,0.82,0.18,@CBSNews
,"""Awe inspiring"": Native American burial site discovered off Florida coast https://t.co/45b8aUudrT https://t.co/LH4Zg2hGaD",2018-03-02 06:03:07,0.0,0.0,1.0,0.0,@CBSNews
,Hundreds gather at church for blessing ceremony featuring AR-15s https://t.co/k4EWI6YaW7 https://t.co/KSgHbAm1fp,2018-03-02 05:48:06,0.4939,0.242,0.758,0.0,@CBSNews
,Jared Leto on why he takes sabbaticals from film https://t.co/WrgcdqcENQ https://t.co/fq3yjSVeKU,2018-03-02 05:33:08,0.0,0.0,1.0,0.0,@CBSNews
,"Dangerous nor'easter targets East Coast with snow, rain, wind https://t.co/CWRK8wM6S9 https://t.co/fVx0ofmVjP",2018-03-02 05:18:10,-0.4767,0.0,0.763,0.237,@CBSNews
,"Martin O'Malley says Democrats should ""welcome"" Trump's openness on gun control https://t.co/RAWKyyn6JK https://t.co/5WAYwzPTFh",2018-03-02 05:10:05,0.0,0.152,0.696,0.152,@CBSNews
,Miami schools superintendent Alberto Carvalho backs out of NYC job https://t.co/bbMFfVbhwU https://t.co/FMKfp0BDPL,2018-03-02 05:03:06,-0.0516,0.0,0.902,0.098,@CBSNews
,Trump tariff decision takes White House by surprise https://t.co/sRxwnT2oki https://t.co/DsGKxQjyqE,2018-03-02 05:02:04,0.2732,0.189,0.811,0.0,@CBSNews
,"""It's like a horror movie."" NYC mother testifies in horrific case of nanny accused of killing 2 children. https://t.co/VDH8jrN2ES https://t.co/RuQsTSfSUW",2018-03-02 04:55:01,-0.9217,0.083,0.43,0.487,@CBSNews
,Former Tennessee school bus driver was found guilty of six counts of criminally negligent homicide in a wreck that killed six children. https://t.co/AUaQJtGNDc https://t.co/MMJ91Cgk2g,2018-03-02 04:15:00,-0.8807,0.0,0.662,0.338,@CBSNews
,"Teacher accused of barricading himself inside a classroom at a Dalton, Georgia high school had a disturbing previous run-in with deputies. https://t.co/kCS5FebicJ https://t.co/flsOjfRkJh",2018-03-02 03:50:00,-0.6705,0.0,0.766,0.234,@CBSNews
,"First lady Melania Trump obtained a green card through a program specifically for people with ""extraordinary ability"" –– but did she qualify? https://t.co/LDPo5qFZRg https://t.co/uz1EFfUfY8",2018-03-02 03:42:16,0.1655,0.073,0.927,0.0,@CBSNews
,@CBSNews Former Maryland Gov. Martin O'Malley discusses 2018 midterms on CBSN's Red &amp; Blue. Full interview: https://t.co/xRt4LGA0WM https://t.co/VSxjc97aT5,2018-03-02 03:10:16,0.0,0.0,1.0,0.0,@CBSNews
,"""I opened the door and a piece of my luggage was at the door, behind the door, blocking the door. I knew that was completely abnormal."" Chicago homeowner describes walking into his apartment after an intruder broke in and and killed his dog. https://t.co/9sG2QFNDEw https://t.co/gJ1lRibMa0",2018-03-02 03:10:01,-0.872,0.0,0.802,0.198,@CBSNews
,"Dick's Sporting Goods expected some backlash when it said it would stop selling assault-style rifles. Instead, it got flowers. https://t.co/RO1TtAa24L",2018-03-02 22:49:51,-0.296,0.0,0.896,0.104,@CNN
,Powerhouse investment firm BlackRock is turning up the pressure on gun makers https://t.co/UIusaBGgmP,2018-03-02 22:36:12,-0.5574,0.0,0.705,0.295,@CNN
,"A powerful nor'easter morphed into a ""bomb cyclone"" Friday as it hammered the East Coast with a ferocious mix of howling winds, drenching rain, some snow and surging waves https://t.co/lfsuNMUKGj https://t.co/HDKe29y0Zq",2018-03-02 22:22:37,-0.2023,0.086,0.772,0.142,@CNN
,"Oprah Winfrey will sit down with CNN's Van Jones for a special episode of ""The Van Jones Show"" https://t.co/bzzbuiDDUI https://t.co/IBX0Yo2WxT",2018-03-02 22:06:46,0.4019,0.13,0.87,0.0,@CNN
,"California keeps a list of people who can't own guns and sends agents to their homes. It may not end mass shootings, but officials say it's a start. https://t.co/Mrd14c9Pux",2018-03-02 21:50:36,0.0,0.0,1.0,0.0,@CNN
,"Parents arrested after children found living in a box for nearly 4 years, police say https://t.co/198lCH2h8q https://t.co/bJ78ST2PyF",2018-03-02 21:35:40,-0.4767,0.0,0.819,0.181,@CNN
,"Most Americans think National Enquirer is covering for President Trump, CNN poll finds https://t.co/KMpuSPHLJj",2018-03-02 21:28:53,0.0,0.0,1.0,0.0,@CNN
,".@jaketapper on the current chaos at the White House: ""If this isn’t a tailspin… what is it?"" https://t.co/aL7z08xtD0 https://t.co/2RJxrWePtH",2018-03-02 21:20:39,-0.5719,0.0,0.821,0.179,@CNN
,"President Trump and Alec Baldwin engaged in a Twitter feud Friday morning after the President mocked the actor's ""dying mediocre career"" and his impression of him on ""Saturday Night Live"" https://t.co/1g0AQt8cpB https://t.co/slgzwDLMgo",2018-03-02 21:16:24,-0.0258,0.127,0.744,0.129,@CNN
,Delta says only 13 people used its NRA discount https://t.co/P7VFuOnlwo,2018-03-02 21:10:07,0.0,0.0,1.0,0.0,@CNN
,President Trump hasn't tweeted about the stock market in 23 days https://t.co/bDIfknWXYB,2018-03-02 20:56:44,0.0,0.0,1.0,0.0,@CNN
,"Delta CEO: ""We are supporters of the 2nd Amendment"" https://t.co/RYssTKhY7Z https://t.co/7Uw6tkA13R",2018-03-02 20:50:11,0.4404,0.225,0.775,0.0,@CNN
,"""I dare you to tell me arming teachers will make us safe"": Student whose teacher fired a gun in a classroom this week speaks out against arming teachers: https://t.co/MNbP9hrhOx https://t.co/TFQxLsBHHk",2018-03-02 20:37:34,-0.7184,0.0,0.812,0.188,@CNN
,"A Las Vegas billboard was vandalized to read, ""Shoot a school kid only $29"" https://t.co/ywsq16Gv0p https://t.co/tcnY4Uz6Hr",2018-03-02 20:24:25,-0.34,0.0,0.844,0.156,@CNN
,Sandy Hook families are asking Bass Pro Shops to stop selling assault rifles like the one used in the 2012 massacre https://t.co/r9JArgJZgi https://t.co/iNcM8ylA1H,2018-03-02 20:12:14,-0.5423,0.088,0.702,0.211,@CNN
,"""He just says what's convenient at the moment"": Senator Schumer criticizes President Trump for seemingly reversing his positions on gun control efforts after a meeting with the National Rifle Association https://t.co/6seEacvKXZ",2018-03-02 19:59:32,-0.5859,0.0,0.854,0.146,@CNN
,Massachusetts State Police are investigating a trooper accused of making racist and obscene comments on a police-themed website https://t.co/2ptSf6c2t2,2018-03-02 19:47:21,-0.875,0.0,0.583,0.417,@CNN
,"Wilbur Ross thinks the outcry about steel and aluminum tariffs are ""a lot to do about nothing."" https://t.co/Rc8wSfMkGW",2018-03-02 19:34:25,-0.5106,0.0,0.837,0.163,@CNN
,"The State Department announces it will continue to staff its embassy in Havana, Cuba, at the minimum level required to perform ""core diplomatic and consular functions,"" due to concerns about ""health attacks"" on staff https://t.co/g5iFNTySmn https://t.co/cOs1G5m0WP",2018-03-02 19:10:09,-0.4404,0.0,0.923,0.077,@CNN
,The great unraveling: Trump's allies are really worried about him | via @GloriaBorger https://t.co/W0z1VBZQgj https://t.co/KQl79jzRYa,2018-03-02 19:01:05,0.3832,0.221,0.645,0.134,@CNN
,Here's a map of the many feuds and frustrations splitting the Trump White House https://t.co/rbqAekfP8L https://t.co/ex9AQExY0T,2018-03-02 18:50:13,-0.6597,0.0,0.707,0.293,@CNN
,Lincoln's lesson for Donald Trump about Jeff Sessions | via @CNNopinion https://t.co/XhIczVFZr2 https://t.co/1oZoto6VnH,2018-03-02 18:41:10,0.0,0.0,1.0,0.0,@CNN
,"Parents arrested after children found living in a box for nearly 4 years, police say https://t.co/m4cqj4Mq0d https://t.co/D8CfdesYCr",2018-03-02 18:27:36,-0.4767,0.0,0.819,0.181,@CNN
,"Democratic Senator Chuck Schumer: ""I've served under six administrations, I have never seen such chaos, I have never seen such infighting and it has real results"" https://t.co/dSY7GEOkO4 https://t.co/sSHdkg86QG",2018-03-02 18:14:29,0.4585,0.107,0.893,0.0,@CNN
,Former Arkansas Gov. Mike Huckabee resigned Thursday from the Country Music Association Foundation board of directors -- less than one day after his appointment -- after backlash over his anti-gay rights record https://t.co/qhIxsEATF3 https://t.co/VockS2CWVN,2018-03-02 18:10:07,-0.25,0.0,0.943,0.057,@CNN
,"President Trump is asking chief of staff John Kelly for help in pushing his daughter and son-in-law out of the White House, The New York Times reports https://t.co/wbwiv2NPys https://t.co/Qap0OBw67J",2018-03-02 18:00:13,0.4019,0.088,0.912,0.0,@CNN
,"We're only nine weeks into 2018, and there have already been at least 12 school shootings in the US https://t.co/rLLs1KPnk5 https://t.co/tODii5DW9w",2018-03-02 17:50:10,0.0,0.0,1.0,0.0,@CNN
,The world's last male northern white rhino is on death watch https://t.co/qlRGC7outQ https://t.co/NbGkIv9u9M,2018-03-02 17:40:08,-0.5994,0.0,0.755,0.245,@CNN
,"Sen. Orrin Hatch calls Obamacare supporters the ""stupidest, dumbass"" people he's ever seen https://t.co/ei43hfq4nW https://t.co/uW2VkZX5we",2018-03-02 17:30:34,-0.1779,0.149,0.667,0.185,@CNN
,These are the #MeToo stories you haven't heard - five Nigerian women share their harrowing stories of sexual abuse and harassment #AsEquals https://t.co/uZymt0wZdA,2018-03-02 17:20:16,-0.7579,0.076,0.657,0.266,@CNN
,Newly declassified documents confirm a New Zealand teenager attempted to shoot Queen Elizabeth II https://t.co/y63tUP1Gx1,2018-03-02 17:10:12,-0.34,0.0,0.844,0.156,@CNN
,"President Trump's stance on guns has not wavered a day after he set up a meeting with NRA officials, the White House says https://t.co/yWHvYcRIC9 https://t.co/68FhQ1nI5e",2018-03-02 17:00:06,0.0,0.0,1.0,0.0,@CNN
,"The last American ""trade war"" didn't work out so great | Analysis by @CillizzaCNN https://t.co/VyM0cUnEtj https://t.co/0JQ8agwv6c",2018-03-02 16:48:54,0.3272,0.237,0.587,0.176,@CNN
,"""I dare you to tell me arming teachers will make us safe"": Student whose teacher fired a gun in a classroom this week speaks out against arming teachers: https://t.co/5x7yuxfFYd https://t.co/OyyYY2IOvd",2018-03-02 16:31:19,-0.7184,0.0,0.812,0.188,@CNN
,"UPDATE: At least two people dead after a gunman opened fire at a dorm on the campus of Central Michigan University, police say. The victims are not students, and police believe the shooting stemmed from a domestic dispute. The suspect remains at large: https://t.co/LlTT67EoYg",2018-03-02 16:17:43,-0.9169,0.0,0.721,0.279,@CNN
,"This nor'easter is officially a 'bomb cyclone' and it continues to strengthen. It dropped 30 millibars in 24 hours. 

Follow live updates: https://t.co/hZgOBjfNCJ 
The stunning stats: https://t.co/klR3q7CI6J 
Track the storm: https://t.co/IOucUZOhw7 https://t.co/yoRwxMpESY",2018-03-02 16:13:42,0.1779,0.136,0.776,0.089,@CNN
,A new CNN poll finds that 70% of Americans are concerned about the number of employees who are serving in the White House without permanent security clearances https://t.co/LiMhicHLXr,2018-03-02 16:07:07,-0.1867,0.046,0.882,0.072,@CNN
,"? More than 2,000 flights are canceled
? 80 million people are in the storm's path
? The cold front stretches 2,500 miles all the way to central Mexico

See more stunning stats on the nor'easter that could morph into a bomb cyclone: https://t.co/mVnlfYM53h https://t.co/QOpbg80htc",2018-03-02 15:47:01,-0.079,0.064,0.865,0.071,@CNN
,"Delta CEO: ""We are supporters of the 2nd Amendment"" https://t.co/6OQl4nj1j4 https://t.co/V2n6aQlG3b",2018-03-02 15:35:27,0.4404,0.225,0.775,0.0,@CNN
,"Another wicked nor'easter -- which could morph into a ""bomb cyclone"" -- is lashing the Northeast.

Get live updates: https://t.co/hZgOBjfNCJ
The stunning stats: https://t.co/klR3q7CI6J
Track the storm: https://t.co/IOucUZOhw7 https://t.co/Axk90dOsio",2018-03-02 15:20:27,-0.6124,0.076,0.731,0.193,@CNN
,"Is President Trump playing it smart or very, very dumb on guns? | Analysis by @CillizzaCNN https://t.co/YXpiWdjBuF https://t.co/fQssm2ozPG",2018-03-02 15:19:07,-0.0954,0.201,0.626,0.173,@CNN
,"About 80 million people are in the path of a powerful nor'easter that is hammering the East Coast with a mix of wind, rain, snow and surging waves.

Follow for live updates: https://t.co/3XvXJd3G0t https://t.co/z8lYHj0oQ5",2018-03-02 15:08:36,0.4215,0.083,0.917,0.0,@CNN
,"JUST IN: Police are investigating reports of shots fired at Central Michigan University, the school says. A suspect is still at large, and everyone is advised ""to take shelter,"" the school said in a tweet https://t.co/LlTT67EoYg",2018-03-02 14:54:45,-0.7003,0.0,0.847,0.153,@CNN
,"President Trump and Alec Baldwin engaged in a Twitter feud Friday morning after the President mocked the actor's ""dying mediocre career"" and his impression of him on ""Saturday Night Live"" https://t.co/idJQbqMIye https://t.co/HlcBcHhr7T",2018-03-02 14:35:00,-0.0258,0.127,0.744,0.129,@CNN
,Venezuelans have just been given a 58% minimum wage hike - but it will be worth less than a fifth of what it was worth a year ago https://t.co/cQaNWpCCoO,2018-03-02 14:30:03,0.5719,0.17,0.83,0.0,@CNN
,"L.L. Bean announces that it will no longer sell guns or ammunition to customers younger than 21, becoming the fourth high-profile retailer to change its policy on gun sales to younger customers in the wake of the Florida high school shooting last month https://t.co/moLNAGFdMm https://t.co/tZS5uwyXEn",2018-03-02 14:20:18,-0.5574,0.0,0.903,0.097,@CNN
,"Sen. Orrin Hatch calls Obamacare supporters the ""stupidest, dumbass"" people he's ever seen https://t.co/QvLCAQvoLv https://t.co/DEi086Ylpv",2018-03-02 14:10:29,-0.1779,0.149,0.667,0.185,@CNN
,Here's why Trump's tariffs spooked markets around the world https://t.co/ihhfYryp4U https://t.co/Gajq3Ju2q4,2018-03-02 14:00:04,0.0,0.0,1.0,0.0,@CNN
,These are the #MeToo stories you haven't heard - five Nigerian women share their harrowing stories of sexual abuse and harassment #AsEquals https://t.co/CUDJ44p6nr,2018-03-02 13:50:05,-0.7579,0.076,0.657,0.266,@CNN
,"Prince Harry and Meghan Markle will invite more than 2,600 people -- almost half of them members of the public -- to the grounds of Windsor Castle for their wedding  https://t.co/5N0cshXHzo https://t.co/0w676KGLXJ",2018-03-02 13:40:11,0.1531,0.049,0.951,0.0,@CNN
,"""I don't need 100 rounds to stop a burglar"": Gun owners discuss whether or not they need their AR-15s https://t.co/zlmzgtp66p",2018-03-02 13:39:11,-0.5574,0.0,0.787,0.213,@CNN
,"Parents arrested after children found living in a box for nearly 4 years, police say https://t.co/jIGulKGB9z https://t.co/oUmoRdXeNt",2018-03-02 13:30:06,-0.4767,0.0,0.819,0.181,@CNN
,"US counterintelligence officials at the FBI are scrutinizing one of Ivanka Trump’s international business deals, sources tell CNN https://t.co/oilq9cDdfZ https://t.co/qhPfAI1s9i",2018-03-02 13:20:18,0.0,0.0,1.0,0.0,@CNN
,How Trump changed the rules to arrest more non-criminal immigrants https://t.co/IKBLKUoEaw https://t.co/oMkdbpGzV7,2018-03-02 13:10:07,-0.34,0.0,0.821,0.179,@CNN
,The world's last male northern white rhino is on death watch https://t.co/rjabrFLeO1 https://t.co/l03YrFdNEU,2018-03-02 13:02:44,-0.5994,0.0,0.755,0.245,@CNN
,"""You're investigating us? Fact finding? Sorry, do not f*** with me"": Philippines President Rodrigo Duterte orders police officers in his country not to cooperate with UN human rights investigators and offered a crass warning to those conducting the probe https://t.co/evDyfZLI2g https://t.co/xVDz2iLxYA",2018-03-02 12:51:06,-0.4696,0.0,0.903,0.097,@CNN
,"Rev. Billy Graham's funeral is expected to be attended by about 2,300 guests, including President Trump and first lady Melania Trump https://t.co/qLuhCT9pVD https://t.co/ExN272IvuU",2018-03-02 12:36:01,-0.3612,0.0,0.898,0.102,@CNN
,"Today’s a day to celebrate

The work of someone gone but great.

Come on now, don’t be obtuse,

Let’s all give thanks to Dr. Seuss.

——

A poetic tribute to Dr. Seuss on his birthday | via @GriggsBrandon https://t.co/J2r2ojtMsW https://t.co/tZzQeKUMsw",2018-03-02 12:21:04,0.9161,0.258,0.742,0.0,@CNN
