news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,"There must be ""no hard border"" in Ireland after #Brexit, Theresa May says, saying UK will commit to keeping standards ""as high"" as the EU's and entering a ""customs arrangement""

https://t.co/bnayw3IWCU #RoadtoBrexit https://t.co/jBb2IsJumz",2018-03-02 14:21:53,-0.1027,0.063,0.833,0.103,@BBCNews
,"""The UK has been clear, it is leaving the customs union"" - PM @Theresa_May on #RoadtoBrexit https://t.co/bnayw3IWCU https://t.co/EdWeGnI0pw",2018-03-02 14:14:40,0.3818,0.14,0.86,0.0,@BBCNews
,"The Prime Minister floats the idea of the UK remaining within European agencies (""associate membership"") that oversee the chemicals, medicines and aerospace industries -- and with it the necessary payments @bbcnews @bbc5live",2018-03-02 14:08:03,0.0,0.0,1.0,0.0,@BBCNews
,"""There are some tensions in the EU's position... and some hard facts for them to face"" - PM @Theresa_May on #RoadtoBrexit https://t.co/bnayw3IWCU https://t.co/UJrt3qzuPp",2018-03-02 14:04:03,-0.4767,0.0,0.83,0.17,@BBCNews
,"""We will not accept the rights of Canada and the obligations of Norway"" - PM @Theresa_May outlines vision for #Brexit in Mansion House speech https://t.co/bnayw3IWCU https://t.co/M1ACEBki4Q",2018-03-02 13:58:14,-0.0475,0.074,0.846,0.08,@BBCNews
,Nuneaton bowling alley siege: Man jailed https://t.co/8Ma043Ikf5,2018-03-02 13:57:32,-0.4939,0.0,0.652,0.348,@BBCNews
,"PM again ruling out existing trade deal models, poor old Norway and Canada",2018-03-02 13:49:21,-0.4767,0.0,0.795,0.205,@BBCNews
,"Prime Minister ""we are close to agreement on terms of an implementation period. Some points of difference remain but I am confident these can be resolved in the days ahead."" @bbc5live @bbcnews",2018-03-02 13:48:17,0.8151,0.232,0.768,0.0,@BBCNews
,"'We are now approaching a crucial moment, and there is no escaping the complexity' - PM says, having gone thro her five rhetorical tests - 'we are making real progress' she says",2018-03-02 13:47:30,0.2023,0.124,0.807,0.068,@BBCNews
,PM: 3 jobs and security,2018-03-02 13:45:58,0.34,0.444,0.556,0.0,@BBCNews
,PM: 2. agreement must last,2018-03-02 13:45:54,0.4939,0.444,0.556,0.0,@BBCNews
